x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,y
-4.7,2.9275,25.0272,10.4968,-3.1874,21.493,-3.3071,4.5616,30.9744,1.8999,17.7353,17.373,32.238,33.0965,11.32,-5.454,15.51,20.8977,15.695,30.5534,31.1443,1.6491,36.7904,35.765,17.3688,30.698,1.76,13.888,17.8283,-1.7432,34.9149,33.8644,24.0968,44.3017,27.2685,1.7154,15.73,27.2679,24.8632,18.2928,-7.98,9.5182,12.9325,8.1072,22.5461,25.6632,-1.4776,19.1488,20.6894,-8.2224,-15.4896,9.0405,5.143,29.2703,20.1728,13.1336,16.108,23.1764,8.063,3.08,0
-4.3205,3.3075,26.0232,11.6536,-2.7523,22.2915,-2.6284,7.5696,31.3392,2.5848,23.3606,24.828,36.919,45.2549,24.928,8.888,30,34.4102,23.06,37.1996,29.9452,-0.4908,36.1226,32.0022,14.6,26.84,-7.8225,8.0437,14.7499,-6.1328,36.6516,34.2417,21.5872,38.5751,23.653,-7.7996,8.5875,23.7399,17.416,17.364,-5.652,4.3409,9.9421,4.9536,18.3041,24.2436,-2.728,18.1872,20.7362,-8.8536,-15.725,9.126,5.1958,29.0816,20.2256,13.1528,16.084,23.1029,8.0364,3.11,0
-4.607,3.455,26.6376,12.5992,-3.1494,22.14,-2.3259,8.0336,34.9568,5.5746,25.7661,25.59,35.544,41.044,22.958,3.862,23.1939,31.3673,25.3225,38.9618,35.7454,5.1477,36.7274,31.3904,16.2648,25.8956,-3.325,14.3863,16.8468,9.4336,39.9584,36.5495,21.4896,38.9799,25.116,-10.3054,14.29,27.7292,25.9,20.6628,0.294,8.9501,11.4709,5.6664,21.4331,24.2112,-0.7648,18.1904,20.234,-8.7456,-15.9274,9.348,5.3652,29.1615,20.432,13.1952,16.1896,23.3444,8.0665,3.195,0
-4.85,2.4275,25.4952,10.492,-4.6105,21.184,-3.7922,4.0416,26.9568,1.1376,16.4977,17.988,30.184,35.8437,13.458,-5.738,10.4553,19.2463,13.15,28.7406,24.7561,-1.251,39.0008,34.1458,14.512,29.4008,-2.86,7.772,11.717,-2.4584,38.382,39.074,24.896,39.8467,24.9765,-10.3736,12.52,29.1698,36.6568,26.0004,3.242,14.5138,13.741,6.8424,26.0195,28.3848,2.372,19.5216,21.2258,-8.2944,-15.4698,9.1815,5.0792,29.255,20.204,13.0584,16.03,23.0924,8.028,3.2925,0
-3.857,3.665,25.1544,10.9456,-3.879,21.3245,-3.6701,5.9472,31.7024,4.0131,22.0584,20.928,34.256,39.0295,19.056,0.652,24.3426,28.2439,8.08,30.1992,27.7108,0.0132,39.314,35.4177,14.5288,25.742,1.4875,16,18.4406,0.3376,37.5721,37.0049,22.3048,37.0791,23.9755,-7.8018,10.51,25.2519,19.7872,17.916,-5.042,8.6212,10.8787,4.0092,18.4532,24.6336,-3.1432,17.136,20.414,-8.8896,-15.6568,9.0465,5.1188,29.1785,20.264,13.012,16.0432,23.1008,8.0749,3.235,0
-4.571,3.1325,24.6648,10.4176,-4.2704,21.495,-3.6789,4.9328,29.368,2.7351,20.0796,21.375,36.343,45.9366,30,9.976,28.9668,34.7575,21.085,31.2684,23.3554,-0.6315,39.602,29.6056,13.6344,29.9384,-2.5275,9.125,13.4343,1.1608,37.906,36.2558,22.6392,38.4178,23.7035,-10.7168,8.5175,25.9106,22.7296,18.9552,-3.586,9.095,8.5183,4.4856,19.5032,25.3068,-2.5048,17.7904,20.4752,-8.8056,-15.7712,9.0675,5.0308,29.0646,20.0312,13.0712,16.0342,23.0567,8.0357,3.155,0
-4.5245,4.39,27.1704,13.3792,-1.8194,21.855,-4.1959,4.2416,29.3328,3.1617,18.0362,15.987,30.513,38.3784,20.838,0.88,19.815,23.8026,8.06,29.3126,35.2183,11.4435,45.902,35.7857,16.2144,31.1912,-1.7175,10.9719,11.8301,-5.8424,38.0677,37.9553,22.372,38.0603,24.4845,-5.6414,14.3825,25.9981,26.1496,22.3596,1.034,8.4671,11.1097,5.0988,19.7384,24.7164,-1.3024,18.6752,20.9126,-8.6184,-15.571,9.3015,5.5456,29.2227,20.168,13.1104,16.0552,23.3003,8.0252,3.2575,0
-4.2215,3.37,26.0208,10.7656,-2.7998,21.461,-3.8703,2.9808,28.344,2.5542,19.7634,19.629,32.657,38.4617,21.252,-1.248,14.4957,16.7577,19.69,40.6844,35.4472,2.2392,41.2562,44.1002,18.0904,32.864,6.18,11.7001,12.8571,-8.3528,34.9226,31.6864,20.792,40.4066,24.833,-14.69,3.7875,25.751,23.2912,18.0552,-6.698,8.0508,10.9459,4.7244,21.5066,26.832,-1.3,17.4064,20.513,-8.5728,-15.8856,9.1215,5.264,29.0765,20.2904,13.0776,16.051,23.0987,8.0336,3.1325,0
-4.6655,2.9375,25.1616,11.14,-3.7707,21.2955,-4.1717,2.1568,27.0944,1.3383,16.9652,17.481,33.833,38.1166,13.426,-7.728,9.7329,22.7308,21.5025,41.835,39.5842,9.669,41.0816,32.8578,14.6992,31.8392,8.0275,13.0883,15.3128,-7.1744,36.1049,35.5056,22.536,39.6355,24.704,-12.1908,5.1575,24.9082,17.032,18.3504,-3.884,7.002,11.4541,4.3188,19.0685,25.5252,-0.4984,18.8624,21.3986,-7.9464,-15.8658,9.2175,5.2816,29.2465,20.1392,13.0392,16.039,23.1953,8.0413,3.055,0
-4.754,2.4325,24.8328,10.168,-4.6447,21.3355,-3.8384,3.1152,27.5392,0.2259,16.3617,16.584,31.266,33.513,10.396,-7.734,14.9346,21.4382,11.095,29.5326,31.7428,7.0692,45.5654,45.3537,19.3656,32.054,4.7225,14.7977,18.5017,5.5504,38.0803,36.4285,22.4808,36.3366,23.122,-14.5624,2.985,23.9597,14.6704,15.5424,-7.76,6.2683,10.3537,4.6608,17.7812,24.8256,-1.9192,17.8208,20.1656,-8.5248,-15.7404,9.135,5.4906,29.3043,20.2016,13.0544,16.0192,23.0735,8.0392,3.1,0
